,from,to,from_xy,to_xy,walking,driving,lat,long
273,11,9,"(11.2554649, 43.7730912)","(11.2541477, 43.7681911)",947.1,458.7,43.7730912,11.2554649
274,11,10,"(11.2554649, 43.7730912)","(11.250670199999998, 43.767161200000004)",1050.9,657.5,43.7730912,11.2554649
275,11,12,"(11.2554649, 43.7730912)","(11.24938, 43.77463)",505.1,522.4,43.7730912,11.2554649
276,11,13,"(11.2554649, 43.7730912)","(11.26282, 43.76298)",1522.1,712.7,43.7730912,11.2554649
277,11,14,"(11.2554649, 43.7730912)","(11.25433, 43.77003)",761.7,156.5,43.7730912,11.2554649
278,11,15,"(11.2554649, 43.7730912)","(11.255230000000001, 43.77313)",0,0,43.7730912,11.2554649
279,11,16,"(11.2554649, 43.7730912)","(11.25564, 43.76968)",812.4,130.7,43.7730912,11.2554649
280,11,17,"(11.2554649, 43.7730912)","(11.248335, 43.762288)",1651.8,931.2,43.7730912,11.2554649
281,11,18,"(11.2554649, 43.7730912)","(11.264966000000001, 43.762705)",1779.1,696.2,43.7730912,11.2554649
282,11,19,"(11.2554649, 43.7730912)","(11.255056, 43.773106)",702.2,0,43.7730912,11.2554649
283,11,20,"(11.2554649, 43.7730912)","(11.256192, 43.769292)",830,294.2,43.7730912,11.2554649
284,11,21,"(11.2554649, 43.7730912)","(11.251878999999999, 43.777276)",407.5,376.1,43.7730912,11.2554649
285,11,22,"(11.2554649, 43.7730912)","(11.258814, 43.776761)",366.1,301.6,43.7730912,11.2554649
286,11,23,"(11.2554649, 43.7730912)","(11.264658, 43.77151)",693,327.7,43.7730912,11.2554649
287,11,-1,"(11.2554649, 43.7730912)","(11.247123, 43.772557)",783.3,753.5,43.7730912,11.2554649
288,12,0,"(11.24938, 43.77463)","(11.255693199999998, 43.772858299999996)",519.4,319.1,43.77463,11.24938
289,12,1,"(11.24938, 43.77463)","(11.2564189, 43.771534100000004)",581.2,559.1,43.77463,11.24938
290,12,2,"(11.24938, 43.77463)","(11.250781, 43.7700828)",483.1,328.7,43.77463,11.24938
291,12,3,"(11.24938, 43.77463)","(11.2534118, 43.7769185)",376,730.5,43.77463,11.24938
292,12,4,"(11.24938, 43.77463)","(11.255579699999998, 43.763469)",1194.2,1237.6,43.77463,11.24938
293,12,5,"(11.24938, 43.77463)","(11.2553108, 43.7677856)",807.7,950.8,43.77463,11.24938
294,12,6,"(11.24938, 43.77463)","(11.255431699999999, 43.7708275)",573.6,373.6,43.77463,11.24938
295,12,7,"(11.24938, 43.77463)","(11.255705099999998, 43.772806)",519.4,319.1,43.77463,11.24938
296,12,8,"(11.24938, 43.77463)","(11.2531435, 43.767925)",734.8,980.7,43.77463,11.24938
297,12,9,"(11.24938, 43.77463)","(11.2541477, 43.7681911)",733.8,969.7,43.77463,11.24938
298,12,10,"(11.24938, 43.77463)","(11.250670199999998, 43.767161200000004)",744.3,396.4,43.77463,11.24938
299,12,11,"(11.24938, 43.77463)","(11.2554649, 43.7730912)",505.1,319.1,43.77463,11.24938
300,12,13,"(11.24938, 43.77463)","(11.26282, 43.76298)",1536.1,1050.5,43.77463,11.24938
301,12,14,"(11.24938, 43.77463)","(11.25433, 43.77003)",581,431.9,43.77463,11.24938
302,12,15,"(11.24938, 43.77463)","(11.255230000000001, 43.77313)",505.1,319.1,43.77463,11.24938
303,12,16,"(11.24938, 43.77463)","(11.25564, 43.76968)",745.5,406.1,43.77463,11.24938
304,12,17,"(11.24938, 43.77463)","(11.248335, 43.762288)",1345.2,670.1,43.77463,11.24938
305,12,18,"(11.24938, 43.77463)","(11.264966000000001, 43.762705)",1793.1,997.6,43.77463,11.24938
306,12,19,"(11.24938, 43.77463)","(11.255056, 43.773106)",526.5,319.1,43.77463,11.24938
307,12,20,"(11.24938, 43.77463)","(11.256192, 43.769292)",727.9,569.6,43.77463,11.24938
308,12,21,"(11.24938, 43.77463)","(11.251878999999999, 43.777276)",280.3,240,43.77463,11.24938
309,12,22,"(11.24938, 43.77463)","(11.258814, 43.776761)",669.8,689.1,43.77463,11.24938
310,12,23,"(11.24938, 43.77463)","(11.264658, 43.77151)",1004.5,603.1,43.77463,11.24938
311,12,-1,"(11.24938, 43.77463)","(11.247123, 43.772557)",466,492.4,43.77463,11.24938
312,13,0,"(11.26282, 43.76298)","(11.255693199999998, 43.772858299999996)",1173.8,817.1,43.76298,11.26282
313,13,1,"(11.26282, 43.76298)","(11.2564189, 43.771534100000004)",1051.9,800,43.76298,11.26282
314,13,2,"(11.26282, 43.76298)","(11.250781, 43.7700828)",1077.8,971.1,43.76298,11.26282
315,13,3,"(11.26282, 43.76298)","(11.2534118, 43.7769185)",1675.6,777.1,43.76298,11.26282
316,13,4,"(11.26282, 43.76298)","(11.255579699999998, 43.763469)",605.6,281.2,43.76298,11.26282
317,13,5,"(11.26282, 43.76298)","(11.2553108, 43.7677856)",765.7,487.7,43.76298,11.26282
318,13,6,"(11.26282, 43.76298)","(11.255431699999999, 43.7708275)",1017.1,735.5,43.76298,11.26282
319,13,7,"(11.26282, 43.76298)","(11.255705099999998, 43.772806)",1173.8,817.1,43.76298,11.26282
320,13,8,"(11.26282, 43.76298)","(11.2531435, 43.767925)",801.3,517.6,43.76298,11.26282
321,13,9,"(11.26282, 43.76298)","(11.2541477, 43.7681911)",834.2,506.6,43.76298,11.26282
322,13,10,"(11.26282, 43.76298)","(11.250670199999998, 43.767161200000004)",901.1,715.9,43.76298,11.26282
323,13,11,"(11.26282, 43.76298)","(11.2554649, 43.7730912)",1522.1,817.1,43.76298,11.26282
324,13,12,"(11.26282, 43.76298)","(11.24938, 43.77463)",1536.1,954.1,43.76298,11.26282
325,13,14,"(11.26282, 43.76298)","(11.25433, 43.77003)",971.8,729,43.76298,11.26282
326,13,15,"(11.26282, 43.76298)","(11.255230000000001, 43.77313)",1522.1,817.1,43.76298,11.26282
327,13,16,"(11.26282, 43.76298)","(11.25564, 43.76968)",873.9,710.4,43.76298,11.26282
328,13,17,"(11.26282, 43.76298)","(11.248335, 43.762288)",1393.2,553.4,43.76298,11.26282
329,13,18,"(11.26282, 43.76298)","(11.264966000000001, 43.762705)",266.9,199.2,43.76298,11.26282
330,13,19,"(11.26282, 43.76298)","(11.255056, 43.773106)",1180.9,817.1,43.76298,11.26282
331,13,20,"(11.26282, 43.76298)","(11.256192, 43.769292)",856.3,675.5,43.76298,11.26282
332,13,21,"(11.26282, 43.76298)","(11.251878999999999, 43.777276)",1625,807.8,43.76298,11.26282
333,13,22,"(11.26282, 43.76298)","(11.258814, 43.776761)",1585.2,733.3,43.76298,11.26282
334,13,23,"(11.26282, 43.76298)","(11.264658, 43.77151)",1074.3,624.1,43.76298,11.26282
335,13,-1,"(11.26282, 43.76298)","(11.247123, 43.772557)",1427.7,1025.6,43.76298,11.26282
336,14,0,"(11.25433, 43.77003)","(11.255693199999998, 43.772858299999996)",280.5,317.7,43.77003,11.25433
337,14,1,"(11.25433, 43.77003)","(11.2564189, 43.771534100000004)",228,557.7,43.77003,11.25433
338,14,2,"(11.25433, 43.77003)","(11.250781, 43.7700828)",228.6,433.3,43.77003,11.25433
339,14,3,"(11.25433, 43.77003)","(11.2534118, 43.7769185)",703.8,612,43.77003,11.25433
340,14,4,"(11.25433, 43.77003)","(11.255579699999998, 43.763469)",645.8,1342.2,43.77003,11.25433
341,14,5,"(11.25433, 43.77003)","(11.2553108, 43.7677856)",247,713.8,43.77003,11.25433
342,14,6,"(11.25433, 43.77003)","(11.255431699999999, 43.7708275)",123.8,372.2,43.77003,11.25433
343,14,7,"(11.25433, 43.77003)","(11.255705099999998, 43.772806)",280.5,317.7,43.77003,11.25433
344,14,8,"(11.25433, 43.77003)","(11.2531435, 43.767925)",186.4,743.7,43.77003,11.25433
345,14,9,"(11.25433, 43.77003)","(11.2541477, 43.7681911)",185.4,732.7,43.77003,11.25433
346,14,10,"(11.25433, 43.77003)","(11.250670199999998, 43.767161200000004)",385.6,501,43.77003,11.25433
347,14,11,"(11.25433, 43.77003)","(11.2554649, 43.7730912)",761.7,317.7,43.77003,11.25433
348,14,12,"(11.25433, 43.77003)","(11.24938, 43.77463)",581,613.8,43.77003,11.25433
349,14,13,"(11.25433, 43.77003)","(11.26282, 43.76298)",971.8,1155.1,43.77003,11.25433
350,14,15,"(11.25433, 43.77003)","(11.255230000000001, 43.77313)",761.7,317.7,43.77003,11.25433
351,14,16,"(11.25433, 43.77003)","(11.25564, 43.76968)",164.9,404.7,43.77003,11.25433
352,14,17,"(11.25433, 43.77003)","(11.248335, 43.762288)",985.2,774.7,43.77003,11.25433
353,14,18,"(11.25433, 43.77003)","(11.264966000000001, 43.762705)",1228.8,1102.2,43.77003,11.25433
354,14,19,"(11.25433, 43.77003)","(11.255056, 43.773106)",287.6,317.7,43.77003,11.25433
355,14,20,"(11.25433, 43.77003)","(11.256192, 43.769292)",147.3,568.2,43.77003,11.25433
