index,from,to,from_xy,to_xy,walking,driving,lat,long
81,6,3,"11.255431699999999, 43.7708275","11.2534118, 43.7769185",693.3,802.5,11.2554317,43.7708275
82,6,4,"11.255431699999999, 43.7708275","11.255579699999998, 43.763469",769.6,834.7,11.2554317,43.7708275
83,6,5,"11.255431699999999, 43.7708275","11.2553108, 43.7677856",292.3,382,11.2554317,43.7708275
84,6,7,"11.255431699999999, 43.7708275","11.255705099999998, 43.772806",171.3,366,11.2554317,43.7708275
85,6,8,"11.255431699999999, 43.7708275","11.2531435, 43.767925",310.2,427.1,11.2554317,43.7708275
86,6,9,"11.255431699999999, 43.7708275","11.2541477, 43.7681911",309.2,404.5,11.2554317,43.7708275
87,6,10,"11.255431699999999, 43.7708275","11.250670199999998, 43.767161200000004",509.4,621.9,11.2554317,43.7708275
88,6,11,"11.255431699999999, 43.7708275","11.2554649, 43.7730912",751.4,366,11.2554317,43.7708275
89,6,12,"11.255431699999999, 43.7708275","11.24938, 43.77463",573.6,1065.9,11.2554317,43.7708275
90,6,-1,"11.255431699999999, 43.7708275","11.251184, 43.770312",306.7,812.2,11.2554317,43.7708275
91,7,0,"11.255705099999998, 43.772806","11.255693199999998, 43.772858299999996",0,0,11.2557051,43.772806
92,7,1,"11.255705099999998, 43.772806","11.2564189, 43.771534100000004",126,291,11.2557051,43.772806
93,7,2,"11.255705099999998, 43.772806","11.250781, 43.7700828",467.6,708.1,11.2557051,43.772806
94,7,3,"11.255705099999998, 43.772806","11.2534118, 43.7769185",637.1,656.6,11.2557051,43.772806
95,7,4,"11.255705099999998, 43.772806","11.255579699999998, 43.763469",926.3,932.9,11.2557051,43.772806
96,7,5,"11.255705099999998, 43.772806","11.2553108, 43.7677856",449,480.2,11.2557051,43.772806
97,7,6,"11.255705099999998, 43.772806","11.255431699999999, 43.7708275",171.3,98.2,11.2557051,43.772806
98,7,8,"11.255705099999998, 43.772806","11.2531435, 43.767925",466.9,525.3,11.2557051,43.772806
99,7,9,"11.255705099999998, 43.772806","11.2541477, 43.7681911",465.9,502.7,11.2557051,43.772806
100,7,10,"11.255705099999998, 43.772806","11.250670199999998, 43.767161200000004",666.1,720.1,11.2557051,43.772806
101,7,11,"11.255705099999998, 43.772806","11.2554649, 43.7730912",635.4,0,11.2557051,43.772806
102,7,12,"11.255705099999998, 43.772806","11.24938, 43.77463",519.4,920,11.2557051,43.772806
103,7,-1,"11.255705099999998, 43.772806","11.251184, 43.770312",451.3,690.8,11.2557051,43.772806
104,8,0,"11.2531435, 43.767925","11.255693199999998, 43.772858299999996",466.9,616.1,11.2531435,43.767925
105,8,1,"11.2531435, 43.767925","11.2564189, 43.771534100000004",414.4,856,11.2531435,43.767925
106,8,2,"11.2531435, 43.767925","11.250781, 43.7700828",276.5,500.3,11.2531435,43.767925
107,8,3,"11.2531435, 43.767925","11.2534118, 43.7769185",890.1,1149.6,11.2531435,43.767925
108,8,4,"11.2531435, 43.767925","11.255579699999998, 43.763469",459.4,1185.2,11.2531435,43.767925
109,8,5,"11.2531435, 43.767925","11.2553108, 43.7677856",165.5,1292.3,11.2531435,43.767925
110,8,6,"11.2531435, 43.767925","11.255431699999999, 43.7708275",310.2,670.5,11.2531435,43.767925
111,8,7,"11.2531435, 43.767925","11.255705099999998, 43.772806",466.9,616.1,11.2531435,43.767925
112,8,9,"11.2531435, 43.767925","11.2541477, 43.7681911",88.2,1314.8,11.2531435,43.767925
113,8,10,"11.2531435, 43.767925","11.250670199999998, 43.767161200000004",199.2,194.8,11.2531435,43.767925
114,8,11,"11.2531435, 43.767925","11.2554649, 43.7730912",948.2,616.1,11.2531435,43.767925
115,8,12,"11.2531435, 43.767925","11.24938, 43.77463",734.8,685.9,11.2531435,43.767925
